CD_MESO,NM_MESO,SIGLA
"1101",Madeira-Guaporé,RO
"1102",Leste Rondoniense,RO
"1201",Vale do Juruá,AC
"1202",Vale do Acre,AC
"1301",Norte Amazonense,AM
"1302",Sudoeste Amazonense,AM
"1303",Centro Amazonense,AM
"1304",Sul Amazonense,AM
"1401",Norte de Roraima,RR
"1402",Sul de Roraima,RR
"1501",Baixo Amazonas,PA
"1502",Marajó,PA
"1503",Metropolitana de Belém,PA
"1504",Nordeste Paraense,PA
"1505",Sudoeste Paraense,PA
"1506",Sudeste Paraense,PA
"1601",Norte do Amapá,AP
"1602",Sul do Amapá,AP
"1701",Ocidental do Tocantins,TO
"1702",Oriental do Tocantins,TO
"2101",Norte Maranhense,MA
"2102",Oeste Maranhense,MA
"2103",Centro Maranhense,MA
"2104",Leste Maranhense,MA
"2105",Sul Maranhense,MA
"2201",Norte Piauiense,PI
"2202",Centro-Norte Piauiense,PI
"2203",Sudoeste Piauiense,PI
"2204",Sudeste Piauiense,PI
"2301",Noroeste Cearense,CE
"2302",Norte Cearense,CE
"2303",Metropolitana de Fortaleza,CE
"2304",Sertões Cearenses,CE
"2305",Jaguaribe,CE
"2306",Centro-Sul Cearense,CE
"2307",Sul Cearense,CE
"2401",Oeste Potiguar,RN
"2402",Central Potiguar,RN
"2403",Agreste Potiguar,RN
"2404",Leste Potiguar,RN
"2501",Sertão Paraibano,PB
"2502",Borborema,PB
"2503",Agreste Paraibano,PB
"2504",Mata Paraibana,PB
"2601",Sertão Pernambucano,PE
"2602",São Francisco Pernambucano,PE
"2603",Agreste Pernambucano,PE
"2604",Mata Pernambucana,PE
"2605",Metropolitana de Recife,PE
"2701",Sertão Alagoano,AL
"2702",Agreste Alagoano,AL
"2703",Leste Alagoano,AL
"2801",Sertão Sergipano,SE
"2802",Agreste Sergipano,SE
"2803",Leste Sergipano,SE
"2901",Extremo Oeste Baiano,BA
"2902",Vale São-Franciscano da Bahia,BA
"2903",Centro Norte Baiano,BA
"2904",Nordeste Baiano,BA
"2905",Metropolitana de Salvador,BA
"2906",Centro Sul Baiano,BA
"2907",Sul Baiano,BA
"3101",Noroeste de Minas,MG
"3102",Norte de Minas,MG
"3103",Jequitinhonha,MG
"3104",Vale do Mucuri,MG
"3105",Triângulo Mineiro/Alto Paranaíba,MG
"3106",Central Mineira,MG
"3107",Metropolitana de Belo Horizonte,MG
"3108",Vale do Rio Doce,MG
"3109",Oeste de Minas,MG
"3110",Sul/Sudoeste de Minas,MG
"3111",Campo das Vertentes,MG
"3112",Zona da Mata,MG
"3201",Noroeste Espírito-santense,ES
"3202",Litoral Norte Espírito-santense,ES
"3203",Central Espírito-santense,ES
"3204",Sul Espírito-santense,ES
"3301",Noroeste Fluminense,RJ
"3302",Norte Fluminense,RJ
"3303",Centro Fluminense,RJ
"3304",Baixadas,RJ
"3305",Sul Fluminense,RJ
"3306",Metropolitana do Rio de Janeiro,RJ
"3501",São José do Rio Preto,SP
"3502",Ribeirão Preto,SP
"3503",Araçatuba,SP
"3504",Bauru,SP
"3505",Araraquara,SP
"3506",Piracicaba,SP
"3507",Campinas,SP
"3508",Presidente Prudente,SP
"3509",Marília,SP
"3510",Assis,SP
"3511",Itapetininga,SP
"3512",Macro Metropolitana Paulista,SP
"3513",Vale do Paraíba Paulista,SP
"3514",Litoral Sul Paulista,SP
"3515",Metropolitana de São Paulo,SP
"4101",Noroeste Paranaense,PR
"4102",Centro Ocidental Paranaense,PR
"4103",Norte Central Paranaense,PR
"4104",Norte Pioneiro Paranaense,PR
"4105",Centro Oriental Paranaense,PR
"4106",Oeste Paranaense,PR
"4107",Sudoeste Paranaense,PR
"4108",Centro-Sul Paranaense,PR
"4109",Sudeste Paranaense,PR
"4110",Metropolitana de Curitiba,PR
"4201",Oeste Catarinense,SC
"4202",Norte Catarinense,SC
"4203",Serrana,SC
"4204",Vale do Itajaí,SC
"4205",Grande Florianópolis,SC
"4206",Sul Catarinense,SC
"4301",Noroeste Rio-grandense,RS
"4302",Nordeste Rio-grandense,RS
"4303",Centro Ocidental Rio-grandense,RS
"4304",Centro Oriental Rio-grandense,RS
"4305",Metropolitana de Porto Alegre,RS
"4306",Sudoeste Rio-grandense,RS
"4307",Sudeste Rio-grandense,RS
"4377",Lagoa Mirim,RS
"4388",Lagoa dos Patos,RS
"5001",Pantanais Sul Mato-grossense,MS
"5002",Centro Norte de Mato Grosso do Sul,MS
"5003",Leste de Mato Grosso do Sul,MS
"5004",Sudoeste de Mato Grosso do Sul,MS
"5101",Norte Mato-grossense,MT
"5102",Nordeste Mato-grossense,MT
"5103",Sudoeste Mato-grossense,MT
"5104",Centro-Sul Mato-grossense,MT
"5105",Sudeste Mato-grossense,MT
"5201",Noroeste Goiano,GO
"5202",Norte Goiano,GO
"5203",Centro Goiano,GO
"5204",Leste Goiano,GO
"5205",Sul Goiano,GO
"5301",Distrito Federal,DF
